task,expert,endpoint,method,seed,ranking,same_checkpoint_control,validation_score25,test_fixed_score25,test_ranked_score25,validation_metric,test_metric,validation_call,test_call,threshold,operator,nominal_budget
cub,cub,Qwen3.8,error,2029,probability,False,0.9214166666666667,0.7472385226095962,0.7931480842250604,0.98,0.803589920607525,0.01,0.06748360372799447,0.10496433079242706,ge,0.01
cub,cub,Qwen3.8,error,2030,probability,False,0.9175,0.7434242319641009,0.7960476354849845,0.9808333333333333,0.8066965826717294,0.01,0.05298584742837418,0.3316056728363037,ge,0.01
cub,cub,Qwen3.8,four_difference,2026,log_ratio,True,0.9197500000000001,0.7397652744218157,0.797186744908526,0.9825,0.8104936140835347,0.01,0.032274767000345185,-2.029417037963867,ge,0.01
cub,cub,Qwen3.8,four_difference,2026,probability_difference,False,0.9836666666666667,0.8131515360717985,0.8127545736969278,0.9858333333333333,0.8144632378322403,0.01,0.009492578529513289,-0.001442005392163992,ge,0.01
cub,cub,Qwen3.8,four_difference,2027,log_ratio,True,0.9186666666666666,0.7403693476009665,0.8032447359337246,0.9791666666666666,0.8144632378322403,0.01,0.030031066620642043,-2.2460412979125977,ge,0.01
cub,cub,Qwen3.8,four_difference,2027,probability_difference,False,0.9831666666666666,0.812806351397998,0.811477390403866,0.9858333333333333,0.8141180531584398,0.01,0.006731101139109423,-0.008533324114978313,ge,0.01
cub,cub,Qwen3.8,four_difference,2028,log_ratio,True,0.9118333333333334,0.7356230583362099,0.7940800828443217,0.98,0.8120469451156369,0.01,0.02847773558853987,-2.7140793800354004,ge,0.01
cub,cub,Qwen3.8,four_difference,2028,probability_difference,False,0.9839166666666667,0.8128753883327581,0.811460131170176,0.9858333333333333,0.81429064549534,0.01,0.008111839834311357,-0.0035147510934621096,ge,0.01
cub,cub,Qwen3.8,four_difference,2029,log_ratio,True,0.9155,0.7356230583362099,0.7988091128753882,0.98,0.8127373144632378,0.01,0.038833275802554364,-2.7343597412109375,ge,0.01
cub,cub,Qwen3.8,four_difference,2029,probability_difference,False,0.9834166666666667,0.8129789437348982,0.8115464273386261,0.9858333333333333,0.81429064549534,0.01,0.010355540214014497,-0.014309233985841274,ge,0.01
cub,cub,Qwen3.8,four_difference,2030,log_ratio,True,0.9219166666666667,0.7439765274421816,0.8031584397652743,0.9816666666666667,0.8123921297894373,0.01,0.02847773558853987,-2.5535104274749756,ge,0.01
cub,cub,Qwen3.8,four_difference,2030,probability_difference,False,0.98325,0.8130134622022783,0.8115119088712461,0.9858333333333333,0.81429064549534,0.01,0.0060407317915084574,-0.00484488345682621,ge,0.01
cub,cub,Qwen3.8,four_ratio,2026,log_ratio,False,0.9755833333333334,0.8073351743182603,0.808577839143942,0.9858333333333333,0.8132550914739386,0.01,0.02105626510182948,3.954883575439453,ge,0.01
