task,expert,endpoint,method,validation_score25_mean,validation_score25_std,test_fixed_score25_mean,test_fixed_score25_std,test_ranked_score25_mean,test_ranked_score25_std,validation_metric_mean,validation_metric_std,test_metric_mean,test_metric_std,validation_call_mean,validation_call_std,test_call_mean,test_call_std
cub,glsim,Qwen3.8,route,0.92515,0.002299909418506208,0.7938384535726615,0.007721293913312285,0.8631204694511563,0.0036321646217745583,0.9828333333333333,0.0007453559924998913,0.8952709699689333,0.0022216864349369875,0.01,0.0,0.024956851915774937,0.0049702397897606635
grefcoco,groundingdino,MiniCPM,error,0.6210682409164383,0.0009278213191392739,0.32351813515582906,0.00600652764795926,0.33151745455576664,0.0012940834975593042,0.6770398481973434,0.005618058332376438,0.45265575816011117,0.012077372145864079,0.3479654227282311,0.013046877094502269,0.4526103848226186,0.03314363208971995
grefcoco,groundingdino,MiniCPM,four_difference,0.6137648464403682,0.0020091906683944055,0.3761943113178119,0.00451225219660107,0.34934180302299855,0.0006879617740834799,0.6562513177313936,0.0022540834511329062,0.49913507075404817,0.005887753308252541,0.4439665471923536,0.03360550791504779,0.5624138615546039,0.03987669902841215
grefcoco,groundingdino,MiniCPM,four_ratio,0.625737578185396,0.0006219672325087774,0.3358925786234864,0.009258320790970132,0.3379752148143947,0.0034946718480593076,0.6801742919389978,0.004772353442217688,0.4605960922213085,0.008720430379345945,0.3379717478389205,0.013044188980017753,0.4383631568499561,0.021818814102269945
grefcoco,groundingdino,MiniCPM,gain,0.614033312249631,0.0028476200552817986,0.37808864815812615,0.0022935649879668374,0.34947962453563225,0.0008158284668645607,0.6562372619298615,0.0034606970465091472,0.4952443070640615,0.005071323680743823,0.4299669688663997,0.036734414444423956,0.5468337917930975,0.03868040637573763
grefcoco,groundingdino,MiniCPM,route,0.6111223557523368,0.0013447057578513206,0.37844142585713075,0.001884887095658619,0.34925162351473216,0.0007971331001151746,0.6562934851359898,0.003268011640403439,0.49978731248050356,0.009799169535157469,0.47595755147937313,0.07797406967337053,0.5931145960355046,0.07913626739982761
grefcoco,groundingdino,Qwen3.8,error,0.6641844121161009,0.0006409353025584052,0.35656410401837624,0.008431473714078902,0.3702696877747214,0.0014255436768525348,0.808545927331506,0.001509281573748924,0.7479681252304115,0.0014444111780072732,0.8079696394686907,0.07461922413173061,0.9098942234069705,0.04580720870865557
grefcoco,groundingdino,Qwen3.8,four_difference,0.6484278585986366,0.002552755685953187,0.42230780137821516,0.0038522524472683673,0.3748864248645889,0.0009344435306377577,0.8127205003865345,0.0014669638122516435,0.7511102288517709,0.0012934323753779572,0.7859723100709818,0.05939858081016824,0.8917222017412019,0.03061690111015076
grefcoco,groundingdino,Qwen3.8,four_ratio,0.6681059807435519,0.00033921544682756597,0.35779655729801785,0.0034213256361630895,0.37301534185973967,0.001546992842135703,0.8140698573336145,0.002380996356522431,0.7164279840058987,0.04781699237960433,0.6399746995572422,0.18357088955100645,0.7694240421972038,0.16649655087770804
grefcoco,groundingdino,Qwen3.8,gain,0.64726403823178,0.003378401153004879,0.4091189065025665,0.005116857858126231,0.3739528684456796,0.0012501282781362643,0.8086021505376344,0.001488853769272928,0.7481099169100757,0.0011598524728590547,0.8599620493358634,0.09026851710833313,0.9264441482573803,0.04489441381375845
